GFP,Rab1a,Rab1b,Rab2a,Rab3a,Rab4a,Rab5a,Rab5c,Rab6a,Rab7a,Rab8a,Rab8b,Rab9a,Rab10,Rab11a,Rab12,Rab13,Rab14,Rab15,Rab17,Rab18,Rab19b,Rab20,Rab21,Rab22,Rab23,Rab24,Rab25,Rab26,Rab27,Rab28,Rab30,Rab33a,Rab33b,Rab35,Rab37,Rab38,Rab39,Rab40,Rab43
0.785069272,4.170477848,5.594101006,1.524075871,2.331475004,1.905660969,1.35355216,1.722140707,1.709300947,1.220187873,1.367604733,2.662732433,1.34439158,3.216986526,4.053958437,2.225043114,1.663006959,8.040589855,1.71566619,3.784275922,0.799359009,2.255483748,1.205021435,1.801737647,1.722846421,1.240869885,1.669928028,2.419942152,2.276330673,0.987533812,1.235753126,4.854526815,3.275747419,1.781966173,1.445473817,1.26421374,1.449845139,1.258654363,0.724161814,2.040056692
0.832153395,3.990842045,3.422529199,1.884001618,1.691592917,1.950974271,2.493523038,1.180755905,1.208208188,1.07618278,1.823251884,1.844989099,0.841799439,3.211608342,6.9047067,1.311398931,1.46387742,1.97753717,1.833476052,1.512078798,1.11891071,3.980704259,1.25095403,2.490580029,1.312748104,2.582862938,1.499909675,1.570147958,3.182384779,1.092201273,1.32508985,5.701530563,1.621941241,2.05709512,1.761610567,1.839753235,0.974891942,1.244677003,1.300667775,1.677480344
0.689825617,3.791615138,2.581789132,2.442344032,3.256278343,1.554743228,2.139228484,0.838951804,1.230971503,0.780808811,2.305654269,1.347661992,0.819292864,3.606031101,4.080437631,1.897462298,1.331507606,7.586183594,2.13638899,2.655967855,1.269851059,2.588919229,1.567222126,2.214219779,1.68058108,1.569585182,1.297180184,3.218284402,7.649457672,1.171601586,1.571228327,4.572214266,2.066677085,2.205220326,1.514139015,1.476050476,1.635866883,0.750806068,1.26488291,1.495094098
0.74135189,4.383624561,6.913988177,2.306149043,1.899747945,1.828496675,1.889344227,2.659463631,1.838078081,1.256406935,1.733014504,1.503238857,1.077957103,3.293481974,3.050939483,1.765228449,1.629307389,1.287810558,1.328670276,4.24661748,0.905345492,1.403200542,2.802863162,1.877943862,1.526565542,1.479892066,1.165568924,2.712105515,6.641607289,1.070142118,1.188953816,5.012897445,1.770177515,1.604408329,1.413754841,1.460984529,1.203523825,1.581727605,1.032930202,2.203396425
0.683126964,6.924870905,4.801300974,2.003786842,2.59741735,1.478469984,1.329884519,3.075290426,1.698429121,2.713877461,3.112113917,1.975613289,1.692452068,4.61969286,4.421043415,1.891588808,1.53323727,3.509695262,1.468472407,3.69285997,0.875579656,3.482607822,1.383026238,3.07077768,1.640711305,1.226165284,1.200125998,2.227910835,2.578939689,1.003373843,1.142685268,8.92301973,2.778966272,2.382752182,1.690326245,2.09389999,1.412769111,1.38094846,1.381622978,3.222942304
0.682077768,4.620333566,3.530631575,2.256779976,1.777855307,3.055791944,1.314603632,1.140809667,1.347453158,1.808742522,1.648871035,1.538855983,1.353241788,2.899201803,2.237257691,1.687957728,1.464482399,3.935978249,1.536430379,5.794944653,1.934374923,2.920921703,1.71378878,2.030285813,1.201814926,1.280396734,1.094808452,2.399670785,5.32452781,1.573179628,1.219289259,4.608096131,2.969715059,2.82433854,1.851605268,2.128845446,1.89747009,1.203631645,0.336435951,2.715405057
0.718157815,5.40398953,2.716681018,2.827162748,2.073787261,2.078789708,1.193910616,0.572039221,1.383135116,1.635801426,1.506333029,2.616622263,1.069295764,2.531390615,4.559228749,3.870221968,1.189296568,3.986885279,1.281753536,2.98592039,1.196041751,2.641850387,2.705104381,2.490725403,1.759983621,1.937919356,1.109152919,1.4692493,4.276445613,1.662825007,1.257277579,5.004832139,4.645283194,1.484933616,1.774867349,1.569658019,1.0163683,1.514336202,1.307455002,2.133278537
0.752554552,6.848985582,9.031941131,1.855212873,1.911914382,3.837966488,1.890816135,2.507533877,1.278773282,0.989413798,1.660223224,2.248182242,1.656565547,5.292868003,3.729552509,3.020388916,1.167937632,6.323437764,1.388309111,,0.537055346,2.200361995,1.918909028,2.709259083,,1.403093281,1.266692826,2.449624991,9.396802455,1.530295291,1.273709278,6.79069838,1.732188491,1.459600761,1.532985148,1.634668713,1.421156281,1.26874573,0.999498833,2.072110257
0.715402744,4.453679195,7.114218232,2.061214457,1.617716791,3.237707569,1.79202471,2.33830201,1.401191014,1.263027587,2.064623155,1.816904725,1.250275614,5.03761468,2.388885204,2.50838938,1.617775894,14.29338287,1.81167835,,,1.587806482,1.571848451,2.581100813,,1.886550327,1.165102263,3.961302122,5.62551423,3.336939396,1.426800818,4.216962988,2.299993035,2.384128077,1.351076073,1.479779042,1.5076783,1.309876762,1.011349733,2.546479395
0.868429396,4.57483626,2.267549036,1.744508661,2.492597484,2.306812142,1.493226558,,1.025887635,,1.740720933,,1.172504537,6.226675841,3.008905316,2.352460503,,4.797965158,2.605855006,,,2.082724576,2.687700352,1.597930407,,2.134348396,1.51872842,1.191465533,3.937941079,1.251688072,1.604347147,7.362469536,,2.998505524,,1.599519596,1.754019324,,0.44200098,
,,,,2.58324196,2.055835973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.26841761,3.00101714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.432518458,1.364187186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.817811581,1.442298113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.395708331,3.437226614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.834191267,2.811094503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.654581427,1.959573019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.030819942,2.835315291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4.815206398,2.280523742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.800223693,2.507021222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.438050992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.124779172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.424877865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.136309233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.935855932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
